Species,Common_name
Adelphicos ibarrorum,
Adelphicos latifasciatum,Oaxacan Burrowing Snake
Adelphicos newmanorum,Middle American Burrowing Snake
Adelphicos nigrilatum,Burrowing Snake
Adelphicos quadrivirgatum,Middle American Burrowing Snake
Adelphicos sargii,"E: Sargi’s earth Snake
S: zacatera de Sargi"
Adelphicos veraepacis,Stuart's Burrowing Snake
Adelphicos visoninum,Middle American Burrowing Snake
Adercosaurus vixadnexus,
Adolfus africanus,"Multi-scaled Forest Lizard, Green-bellied Forest Lizard"
Adolfus alleni,Alpine Meadow Lizard
Adolfus jacksoni,"E: Jackson’s Forest Lizard
G: Jacksons Gebirgseidechse"
Adolfus masavaensis,
Aeluroglena cucullata,Somali Snake
Aeluroscalabotes felinus,"E: Cat Gecko
G: Fuchsgesicht-Lidgecko"
Afroedura africana,African Rock Gecko
Afroedura amatolica,"Amatola Flat Gecko, Amatola Rock Gecko"
Afroedura bogerti,Bogert's Rock Gecko
Afroedura broadleyi,Broadley’s Rock Gecko
Afroedura gorongosa,
Afroedura granitica,Granite Rock Gecko
Afroedura haackei,"Haacke’s Flat Gecko, Haacke’s Rock Gecko"
Afroedura halli,"Hall’s Flat Gecko, Inland Rock Gecko"
Afroedura hawequensis,"Haweqa Flat Gecko, Cape Rock Gecko"
Afroedura karroica,"Karoo Flat Gecko, Inland Rock Gecko"
Afroedura langi,"Lang’s Flat Gecko, Lang’s Rock Gecko"
Afroedura leoloensis,Leolo Rock Gecko
Afroedura loveridgei,Loveridge’s Rock Gecko
Afroedura major,"Swazi Flat gecko, Major Rock Gecko"
Afroedura maripi,Maripi Rock Gecko
Afroedura marleyi,"Marley’s Flat Gecko, Marley’s Rock Gecko"
Afroedura multiporis,"Woodbush Flat Gecko, Multipored Rock Gecko"
Afroedura namaquensis,"Namaqua Flat Gecko, Namaqua Rock Gecko"
Afroedura nivaria,"Mountain Flat Gecko, Drakensberg Rock Gecko"
Afroedura pienaari,Pienaar’s Rock Gecko
Afroedura pondolia,"Pondo Flat Gecko, Pondo Rock Gecko"
Afroedura pongola,Pongola Rock Gecko
Afroedura rondavelica,Rondavels Rock Gecko
Afroedura rupestris,
Afroedura tembulica,"Tembu Flat gecko, Queenstown Rock Gecko"
Afroedura tirasensis,African Rock Gecko
Afroedura transvaalica,"Transvaal Rock Gecko, Transvaal Flat Gecko, Zimbabwe Flat Gecko, Limpopo Flat Gecko"
Afroedura waterbergensis,Waterberg Rock Gecko
Afrogecko ansorgii,
Afrogecko porphyreus,Marbled leaf-toed gecko
Afronatrix anoscopus,African Brown Water Snake
Afrotyphlops angeli,Mann's Worm Snake
Afrotyphlops angolensis,Angola blind snake
Afrotyphlops anomalus,"Angolan giant blind-snake, Anomalous Beaked Snake"
Afrotyphlops bibronii,Bibron's Blind Snake
Afrotyphlops blanfordii,Blanford’s blind-snake
Afrotyphlops brevis,Somali giant blind-snake 
Afrotyphlops calabresii,Calabresi’s blind-snake
Afrotyphlops congestus,Blotched blind snake
Afrotyphlops cuneirostris,"Wedge-snouted blind-snake, Wedgenose Worm Snake"
Afrotyphlops decorosus,"Cameroon gracile blind-snake, Cameroon Worm Snake"
Afrotyphlops elegans,Elegant Worm Snake
Afrotyphlops fornasinii,Fornasini's Blind Snake
Afrotyphlops gierrai,Usambara Spotted Worm Snake
Afrotyphlops kaimosae,Kakamega blind-snake
Afrotyphlops liberiensis,Guinea Blind Snake
Afrotyphlops lineolatus,"Common Lined Worm Snake, Lineolate Blind Snake"
Afrotyphlops manni,Mann's Worm Snake
Afrotyphlops mucruso,Zambezi Blind Snake
Afrotyphlops nanus,Kenyan dwarf blind-snake
Afrotyphlops nigrocandidus,
Afrotyphlops obtusus,"Southern gracile blind-snake, Slender Blind Snake"
Afrotyphlops platyrhynchus,Tanga Worm Snake
Afrotyphlops punctatus,Spotted Blind Snake
Afrotyphlops rondoensis,Rondo Worm Snake
Afrotyphlops schlegelii,"schlegelii: Schlegel's Beaked Blind Snake, Schlegel's Giant Blind Snake
petersii: Peter's Giant Blind Snake, Schlegel's Beaked Blind Snake, Peter’s phase"
Afrotyphlops schmidti,Schmidt’s blind-snake
Afrotyphlops steinhausi,Steinhaus' Worm Snake
Afrotyphlops tanganicanus,Liwale blind-snake
Afrotyphlops usambaricus,Usambara blind-snake
Agama aculeata,"Ground Agama
aculeata: Western Ground Agama
distanti: Northern Ground Agama"
Agama africana,
Agama agama,"E: Common Agama, Rainbow Lizard, Red-headed agama
G: Siedleragame
Fr: Margouillat"
Agama anchietae,"Anchieta's Agama, Western Rock Agama"
Agama armata,"Northern Ground Agama, Peter’s Ground Agama"
Agama atra,Southern African Rock Agama
Agama bocourti,Bocourt's Agama
Agama boensis,
Agama bottegi,Somali Agama
Agama boueti,Mali Agama
Agama boulengeri,Boulenger's Agama
Agama caudospinosa,Elmenteita Rock Agama
Agama cristata,Insular Agama
Agama doriae,"Benoue Agama, Doria’s Agama, Nigeria Agama"
Agama etoshae,
Agama finchi,Finch’s agama
Agama gracilimembris,Benin Agama
Agama hartmanni,Hartmann's Agama
Agama hispida,"Common Spiny Agama, Southern Spiny Agama"
Agama hulbertorum,
Agama impalearis,G: Atlasagame
Agama insularis,Insular Agama
Agama kaimosae,
Agama kirkii,Kirk's Rock Agama
Agama knobeli,Southern Rock Agama
Agama lanzai,
Agama lebretoni,
Agama lionotus,G: Ostafrikanische Siedleragame
Agama lucyae,
Agama montana,Montane rock agama
Agama mossambica,Mozambique Agama
Agama mucosoensis,"E: Mucoso Agama
G: Mucoso-Siedleragame"
Agama mwanzae,"E: Mwanza flat-headed agama
G: Fliederagame"
Agama parafricana,
Agama paragama,False Agama
Agama persimilis,(Somali) Painted Agama
Agama planiceps,Namib Rock Agama
Agama robecchii,Robecchi's Agama
Agama rueppelli,Rüppell’s Agama
Agama sankaranica,Senegal Agama
Agama somalica,
Agama spinosa,Gray’s (Spiny) Agama
Agama sylvana,
Agama tassiliensis,
Agama turuensis,G: Ostafrikanische Siedleragame
Agama weidholzi,Gambia Agama
Agamodon anguliceps,Angled Worm Lizard
Agamodon arabicus,Arabian Worm Lizard
Agamodon compressus,Flat Worm Lizard
Agamura persica,"E: Spider Gecko
G: Spinnengecko"
Agkistrodon bilineatus,"E: Cantil, Mexican Moccasin
G: Mexikanische Mokassinschlange"
Agkistrodon conanti,"E: conanti: Florida Cottonmouth
G: Florida-Wassermokassinotter"
Agkistrodon contortrix,"E: Southern Copperhead
mokasen: Northern Copperhead
phaeogaster: Osage Copperhead
G: Kupferkopf"
Agkistrodon howardgloydi,"E: Gloyd’s Moccasin
G: Gloyds Mokassinschlange"
Agkistrodon laticinctus,"E: Broad-banded Copperhead
pictigaster: Trans-Pecos Copperhead
G: Breitband-Kupferkopf"
Agkistrodon piscivorus,"piscivorus: Eastern Cottonmouth
leucostoma: Western Cottonmouth
G: Wasser-Mokassinotter
G: Östliche Wasser-Mokassinotter [piscivorus]
G: Westliche Wassermokassinotter [leucostoma]"
Agkistrodon russeolus,"E: Cantil, Mexican Moccasin
G: Mexikanische Mokassinschlange"
Agkistrodon taylori,Mexican Moccasin
Ahaetulla anomala,
Ahaetulla dispar,"Indian Bronzeback, Günther's Vine Snake"
Ahaetulla fasciolata,"E: Speckle-headed Whipsnake, Spotted Whipsnake
G: Gefleckte Peitschennatter"
Ahaetulla fronticincta,"Günther's Whipsnake, Burmese Vine Snake"
