Species,Common_name
Lepidodactylus guppyi,Solomon Scaly-toed Gecko
Lepidodactylus herrei,Negros Scaly-toed Gecko
Lepidodactylus intermedius,
Lepidodactylus labialis,Mindanao False Gecko
Lepidodactylus listeri,"Christmas Island Chained Gecko, Lister’s gecko"
Lepidodactylus lombocensis,
Lepidodactylus lugubris,"E: Mourning Gecko, Common Smooth-Scaled Gecko
G: Gewöhnlicher Schuppenfingergecko"
Lepidodactylus magnus,Mountain Scaly-toed Gecko
Lepidodactylus manni,Fiji Scaly-toed Gecko
Lepidodactylus moestus,
Lepidodactylus mutahi,Bougainville's Scaly-toed Gecko
Lepidodactylus novaeguineae,New Guinea Scaly-toed Gecko
Lepidodactylus oligoporus,
Lepidodactylus oortii,
Lepidodactylus orientalis,Oriental Scaly-toed  Gecko
Lepidodactylus pantai,E: Beach Scaly-toed Gecko
Lepidodactylus paurolepis,Seventy Islands-Gecko
Lepidodactylus planicaudus,Mindanao Scaly-toed Gecko
Lepidodactylus pulcher,Wild Scaly-toed Gecko
Lepidodactylus pumilus,Slender Chained Gecko
Lepidodactylus ranauensis,Sabah Scaly-toed  Gecko
Lepidodactylus shebae,Guadalcanal Scaly-toed  Gecko
Lepidodactylus tepukapili,
Lepidodactylus vanuatuensis,
Lepidodactylus woodfordi,Woodford's Scaly-toed Gecko
Lepidodactylus yami,Lanyu Scaly-toed Gecko
Lepidophyma chicoasensis,"E: Sumidero Tropical Night Lizard
S: Lagartija Nocturna del Sumidero"
Lepidophyma cuicateca,
Lepidophyma dontomasi,"E: MacDougall's Tropical Night Lizard
S: Lagartija Nocturna de MacDougall"
Lepidophyma flavimaculatum,"E: Yellow-spotted Night Lizard
G: Krokodilnachtechse"
Lepidophyma gaigeae,"E: Gaige's Tropical Night Lizard
S: Lagartija Nocturna de Gaige"
Lepidophyma lineri,"E: Liner’s Tropical Night Lizard
S: Lagartija Nocturna de Liner"
Lepidophyma lipetzi,"E: Lipetz's Tropical Night Lizard
S: Lagartija Nocturna del Ocote"
Lepidophyma lowei,"E: Lowe’s Tropical Night Lizard
S: Lagartija Nocturna de Lowe."
Lepidophyma mayae,"G: Maya-Nachtechse
E: Mayan Tropical Night Lizard
S: Escorpión Nocturno Maya."
Lepidophyma micropholis,"E: Cave Tropical Night Lizard
S: Lagartija Nocturna de Cueva"
Lepidophyma occulor,"E: Japlan Tropical Night Lizard
S: Lagartija Nocturna de Jalpan"
Lepidophyma pajapanensis,"E: Pajapan Tropical Night Lizard
S: Lagartija Nocturna de Pajapán."
Lepidophyma radula,"E: Yautepec Tropical Night Lizard
S: Lagartija Nocturna de Yautepec"
Lepidophyma reticulatum,"E: Costa Rican Tropical Night Lizard
S: Lagartija Nocturna de Costa Rica"
Lepidophyma smithii,"E: Smith's Tropical Night Lizard
S: Lagartija Nocturna de Smith"
Lepidophyma sylvaticum,"E: Madrean Tropical Night Lizard
S: Lagartija Nocturna de Montaña."
Lepidophyma tarascae,"E: Tarascan Tropical Night Lizard
S: Lagartija Nocturna de Tarasca"
Lepidophyma tuxtlae,Tuxtla Tropical Night Lizard
Lepidophyma zongolica,
Lepidothyris fernandi,"G: Prachtskink, Feuerskink, Feuerbauchskink"
Lepidothyris hinkeli,
Lepidothyris striatus,
Leposoma annectans,
Leposoma baturitensis,
Leposoma nanodactylus,
Leposoma puk,
Leposoma scincoides,Skink Tegu
Leposoma sinepollex,
Leposternon bagual,
Leposternon cerradensis,
Leposternon infraorbitale,Berthold's Worm Lizard
Leposternon kisteumacheri,
Leposternon maximus,
Leposternon microcephalum,Smallhead Worm Lizard
Leposternon mineiro,
Leposternon octostegum,Dumeril's Worm Lizard
Leposternon polystegum,Bahia Worm Lizard
Leposternon scutigerum,Shielded Worm Lizard
Leposternon wuchereri,Wucherer's Worm Lizard
Leptodeira annulata,"E: Banded Cat-eyed Snake
G: Bananennatter"
Leptodeira bakeri,Baker's Cat-eyed Snake
Leptodeira frenata,Rainforest Cat-eyed Snake
Leptodeira maculata,Southwestern Cat-eyed Snake
Leptodeira nigrofasciata,Black-banded Cat-eyed Snake
Leptodeira polysticta,
Leptodeira punctata,Western Cat-eyed Snake
Leptodeira rhombifera,
Leptodeira rubricata,
Leptodeira septentrionalis,"E: Northern Cat-eyed Snake
G: Gebänderte Katzenaugennatter"
Leptodeira splendida,Splendid Cat-eyed Snake
Leptodeira uribei,Uribe's False Cat-eyed Snake
Leptodrymus pulcherrimus,Striped Lowland Snake
Leptophis ahaetulla,"E: (Giant) Parrot Snake
G: Brasilianische Schlanknatter"
Leptophis coeruleodorsus,Oliver’s parrot snake
Leptophis cupreus,Copper Parrot Snake
Leptophis depressirostris,Cope's Parrot Snake
Leptophis diplotropis,Pacific Coast Parrot Snake
Leptophis haileyi,
Leptophis mexicanus,"E: Mexican Parrot Snake
G: Mexikanische Dünnschlange"
Leptophis modestus,Cloud Forest Parrot Snake
Leptophis nebulosus,Oliver's Parrot Snake
Leptophis riveti,Despax's Parrot Snake
Leptophis stimsoni,Gray Lora
Leptoseps osellai,"E: Osella’s Skink
G: Osellas Skink"
Leptoseps poilani,
Leptosiaphos aloysiisabaudiae,Uganda Five-toed Skink
Leptosiaphos amieti,Cameroon Five-toed Skink
Leptosiaphos blochmanni,Zaire three-toed Skink
Leptosiaphos dewittei,Dewitte's Five-toed Skink
Leptosiaphos dungeri,
Leptosiaphos fuhni,Fuhn's Five-toed Skink
Leptosiaphos graueri,Rwanda Five-toed Skink
Leptosiaphos hackarsi,Hackars' Five-toed Skink
Leptosiaphos hylophilus,Laurenti's Five-toed Skink
Leptosiaphos ianthinoxantha,Yellow and Violet Bellied Mountain Skink
Leptosiaphos kilimensis,Kilimanjaro Five-toed Skink
Leptosiaphos koutoui,
Leptosiaphos luberoensis,Witte's Five-toed Skink
Leptosiaphos meleagris,Ruwenzori Four-toed Skink
Leptosiaphos pauliani,
Leptosiaphos rhodurus,Red Five-toed Skink
Leptosiaphos rhomboidalis,Udzungwa five-toed skink
Leptosiaphos vigintiserierum,African Five-toed Skink
Leptotyphlops aethiopicus,Ethiopian worm snake
Leptotyphlops conjunctus,Cape Thread Snake
Leptotyphlops distanti,Distant's Thread Snake
Leptotyphlops emini,Emin Pasha’s worm snake
Leptotyphlops howelli,Howell’s worm snake
Leptotyphlops incognitus,Incognito Thread Snake
Leptotyphlops jacobseni,Jacobsen’s Thread Snake
Leptotyphlops kafubi,Shaba thread snake
Leptotyphlops keniensis,Mount Kenya worm snake
Leptotyphlops latirostris,Uvira worm snake
Leptotyphlops macrops,Goggle-eyed worm snake
Leptotyphlops mbanjensis,Mbanja worm snake
Leptotyphlops merkeri,Merker’s Thread Snake
Leptotyphlops nigricans,Black Thread Snake
Leptotyphlops nigroterminus,Black-tip worm snake
Leptotyphlops pembae,Pemba worm snake
Leptotyphlops pitmani,Pitman’s Thread Snake
Leptotyphlops pungwensis,
Leptotyphlops scutifrons,Peter's Thread Snake
Leptotyphlops sylvicolus,Forest Thread Snake
Leptotyphlops telloi,Tello's Thread Snake
Lepturophis albofuscus,"E: Dark Wolf Snake
G: Dunkle Wolfszahnnatter"
Lerista aericeps,Desert Plain Slider
Lerista allanae,Greater Robust Fine-lined Slider
Lerista allochira,Cape Range Slider
Lerista ameles,Limbless Fine-lined Slider
Lerista amicorum,
Lerista apoda,Dampier Land Limbless Slider
Lerista arenicola,Bight Slider
Lerista axillaris,Stripe-sided Robust Slider
Lerista baynesi,
Lerista bipes,North-western Sandslider
Lerista borealis,Inland Kimberley Slider
Lerista bougainvillii,South-eastern Slider
Lerista bunglebungle,Bunglebungle Robust Slider
Lerista carpentariae,Carpentaria Fine-lined Slider
Lerista chordae,
Lerista christinae,Bold-striped Slider
Lerista cinerea,Vine-thicket Fine-lined Slider
Lerista clara,
Lerista colliveri,Nubbinned Fine-lined Slider
Lerista connivens,Blinking Broad-blazed Slider
Lerista desertorum,Central Deserts Robust Slider
Lerista distinguenda,South-western Orange-tailed Slider
Lerista dorsalis,Southern Slider
Lerista edwardsae,
Lerista elegans,Elegant Slider
Lerista elongata,Wide-striped Mulch Slider
Lerista emmotti,Noonbah Robust Slider
Lerista eupoda,
Lerista flammicauda,Pilbara Flame-tailed Slider
Lerista fragilis,Eastern Mulch-slider
Lerista frosti,Centralian Slider
Lerista gascoynensis,Gascoyne Broad-blazed Slider
Lerista gerrardii,Bold-striped Robust Slider
Lerista greeri,South-eastern Kimberley Sandslider
Lerista griffini,Stout Sandslider
Lerista haroldi,Gnaraloo Mulch-slider
Lerista hobsoni,
Lerista humphriesi,Taper-tailed West-coast Slider
Lerista ingrami,McIvor River Slider
Lerista ips,Robust Duneslider
Lerista jacksoni,
Lerista kalumburu,Kalumburu Slider
Lerista karlschmidti,Lesser Robust Fine-lined Slider
Lerista kendricki,Dark Broad-blazed Slider
Lerista kennedyensis,Kennedy Range Broad-blazed Slider
Lerista kingi,
Lerista labialis,Southern Sandslider
Lerista lineata,Perth Slider
Lerista lineopunctulata,"Dotted-line Robust Slider, West Coast Line-spotted Lerista"
Lerista macropisthopus,Unpatterned Robust Slider
Lerista maculosa,Spotted Broad-blazed Slider
Lerista micra,
Lerista microtis,South-western Slider
Lerista miopus,
Lerista muelleri,Wood Mulch-slider
Lerista neander,Pilbara Robust Slider
Lerista nevinae,
Lerista nichollsi,Inland Broad-blazed Slider
Lerista occulta,
Lerista onsloviana,Onslow Broad-blazed Slider
Lerista orientalis,North-eastern Orange-tailed Slider
Lerista petersoni,Pale Broad-blazed Slider
Lerista picturata,Southern Robust Slider
Lerista planiventralis,Keeled Slider
Lerista praefrontalis,Yampi Sandslider
Lerista praepedita,Blunt-tailed West-coast Slider
Lerista punctatovittata,Eastern Robust Slider
Lerista puncticauda,Dotty-tailed Robust Slider
Lerista quadrivincula,Four-chained Slider
Lerista robusta,Brad-eyed Sandslider
Lerista rochfordensis,
Lerista rolfei,
Lerista separanda,Dampierland Plain Slider
Lerista simillima,Fitzroy Sandslider
Lerista speciosa,Pale-striped Mulch-slider
Lerista stictopleura,Spotted Broad-blazed Slider
Lerista storri,Storr's Lerista
Lerista stylis,Arnhem Coast Fine-lined Slider
Lerista taeniata,Ribbon Slider
Lerista talpina,Phantom Mole Slider
Lerista terdigitata,Robust Mulch-slider
Lerista timida,
Lerista tridactyla,Dark-backed Mulch-slider
Lerista uniduo,Slender Broad-blazed Slider
Lerista vanderduysi,E: Leaden-bellied Fine-line Slider
Lerista varia,Shark Bay Broad-blazed Slider
Lerista verhmens,
Lerista vermicularis,Slender Duneslider
Lerista viduata,Ravensthorpe Range Slider
Lerista vittata,Side-striped Fine-lined Slider
Lerista walkeri,Coastal Kimberley Slider
Lerista wilkinsi,Two-toed Fine-lined Slider
Lerista xanthura,Yellow-tailed Plain Slider
Lerista yuna,Yuna Broad-blazed Slider
Lerista zietzi,Pilbara Blue-tailed Slider
Lerista zonulata,North-eastern Orange-tailed Slider
Letheobia acutirostrata,
Letheobia akagerae,E: Akagera Gracile Blind Snake 
Letheobia caeca,Gabon Beaked Snake
Letheobia coecatus,
Letheobia crossii,Cross' Beaked Snake
Letheobia debilis,Feeble gracile blind-snake
Letheobia episcopus,
Letheobia erythraea,Eritrean Blind Snake
Letheobia feae,St. Thomas Beaked Snake
Letheobia gracilis,"Gracile blind-snake, Urungu Beaked Snake"
Letheobia graueri,Sternfeld's Beaked Snake
Letheobia jubana,
Letheobia kibarae,"Upemba gracile blind-snake, Katanga Beaked Snake"
Letheobia largeni,Largen’s (gracile) blind-snake
Letheobia leucosticta,Liberia Worm Snake
Letheobia lumbriciformis,"Zanzibar gracile blind-snake, Wormlike Beaked Snake"
Letheobia mbeerensis,
Letheobia newtoni,
Letheobia pallida,Zanzibar Beaked Snake
Letheobia pauwelsi,
Letheobia pembana,Pemba gracile blind-snake
Letheobia praeocularis,Léopoldville Beaked Snake
Letheobia rufescens,"Oubangui gracile blind-snake, Haut-Oubangui Beaked Snake"
Letheobia simonii,
Letheobia somalica,"Highland Beaked Snake, Ethiopian Blind Snake"
Letheobia stejnegeri,Stejneger's Beaked Snake
Letheobia sudanensis,"Garamba gracile blind-snake, Sudan Beaked Snake"
Letheobia swahilica,Swahili gracile blind-snake
Letheobia toritensis,Torit gracile blind-snake
Letheobia uluguruensis,"Uluguru gracile blind-snake, Uluguri Worm Snake"
Letheobia wittei,"De Witte’s gracile blind-snake, Witte's Beaked Snake"
Letheobia zenkeri,Zenker's Worm Snake
Leucocephalon yuwonoi,"E: Sulawesi Forest Turtle
G: Celebes-Erdschildkröte"
Lialis burtonis,"E: Burton's Snake-lizard, Burton's Legless Lizard
G: Burtons Spitzkopf-Flossenfuß"
Lialis jicari,Papua Snake Lizard
Liasis fuscus,"E: (Brown) Water python
G: Brauner Wasserpython"
Liasis mackloti,"E: Freckled Python, Macklot's Python
G: Macklots Python, Timor-Wasserpython"
Liasis olivaceus,"E: Olive Python
G: Olivfarbener Python, Olivpython"
Liasis papuanus,"E: Papuan (olive) python
G: Papua-Olivpython, Papuapython"
Liburnascincus artemis,
Liburnascincus coensis,Coen Rainbow-skink
Liburnascincus mundivensis,Outcrop Rainbow-skink
Liburnascincus scirtetis,Black Mountain Rainbow-skink
Lichanura orcutti,"E: Northern Three-lined Boa
G: Nördliche Rosenboa, Dreistreifen-Rosenboa"
Lichanura trivirgata,"Rosy Boa
gracia: Desert Rosy Boa
roseofusca: Coastal Rosy Boa
trivirgata: Mexican Rosy Boa
G: Rosenboa, Dreistreifen-Rosenboa"
Limnophis bangweolicus,"Eastern Striped Swamp Snake, Bangweulu Water Snake"
Limnophis bicolor,Bicolored Swamp Snake
Liodytes alleni,Striped Crayfish Snake
Liodytes pygaea,"Black Swamp Snake
cyclas: South Florida Swamp Snake
paludis: Carolina Swamp Snake
pygaea: North Florida Swamp Snake"
Liodytes rigida,"Crayfish Snake
deltae: Delta Crayfish Snake
rigida: Glossy Crayfish Snake
sinicola: Gulf Crayfish Snake"
Lioheterophis iheringi,Ihering's Snake
Liolaemus abaucan,
Liolaemus abdalai,
Liolaemus absconditus,
Liolaemus acostai,
Liolaemus albiceps,
Liolaemus alticolor,Brilliant Tree Iguana
Liolaemus andinus,"E: Andes Tree Iguana
S: Lagartija Andina"
Liolaemus annectens,
Liolaemus anomalus,
Liolaemus antumalguen,
Liolaemus aparicioi,
Liolaemus arambarensis,
Liolaemus araucaniensis,
Liolaemus archeforus,Main Tree Iguana
Liolaemus atacamensis,
Liolaemus audituvelatus,S: Dragon de oído cubierto
Liolaemus austromendocinus,Austromendocino Tree Iguana
Liolaemus avilai,
Liolaemus azarai,
Liolaemus baguali,
Liolaemus bellii,
Liolaemus bibronii,Bibron's Tree Iguana
Liolaemus bitaeniatus,Striped Tree Iguana
Liolaemus boulengeri,Boulenger's Tree Iguana
Liolaemus buergeri,Buerger's Tree Iguana
Liolaemus burmeisteri,
Liolaemus calchaqui,
Liolaemus calliston,
Liolaemus canqueli,
Liolaemus caparensis,
Liolaemus capillitas,Hulse's Tree Iguana
Liolaemus carlosgarini,"E: Garín’s Lizard
S: Lagartija de Garín"
Liolaemus casamiquelai,
Liolaemus cazianiae,
Liolaemus chacabucoense,
Liolaemus chacoensis,Chaco Tree Iguana
Liolaemus chaltin,
Liolaemus chavin,
Liolaemus chehuachekenk,
Liolaemus chiliensis,"Chilean Tree Iguana, Unidentata lizard, weeping lizard"
Liolaemus chillanensis,Peak Tree Iguana
Liolaemus chlorostictus,
Liolaemus chungara,
Liolaemus cinereus,
Liolaemus coeruleus,Blue Tree Iguana
Liolaemus confusus,
Liolaemus constanzae,"E: Constanze's Tree Iguana
S: Lagartija de Constanza"
Liolaemus crandalli,
Liolaemus cranwelli,Cranwell's Tree Iguana
Liolaemus crepuscularis,
Liolaemus cristiani,
Liolaemus curicensis,Curicen Tree Iguana
Liolaemus curis,Nuñez' Tree Iguana
Liolaemus cuyanus,
Liolaemus cuyumhue,
Liolaemus cyaneinotatus,
Liolaemus cyanogaster,Cyan Tree Iguana
Liolaemus darwinii,Darwin's Tree Iguana
Liolaemus diaguita,
Liolaemus dicktracyi,
Liolaemus disjunctus,
Liolaemus ditadai,
Liolaemus donosobarrosi,Donoso-Barros' Tree Iguana
Liolaemus dorbignyi,Dorbigny's Tree Iguana
Liolaemus duellmani,Duellman's Tree Iguana
Liolaemus dumerili,
Liolaemus eleodori,Eleodor's Tree Iguana
Liolaemus elongatus,Elongate Tree Iguana
Liolaemus erguetae,
Liolaemus erroneus,S: Dragon grande
Liolaemus escarchadosi,
Liolaemus espinozai,
Liolaemus etheridgei,
Liolaemus exploratorum,
Liolaemus fabiani,"E: Yanez's Tree Iguana, Fabian’s lizard
S: Lagartija de Fabián"
Liolaemus famatinae,
Liolaemus fittkaui,
Liolaemus fitzgeraldi,Fitzgerald's Tree Iguana
Liolaemus fitzingerii,Fitzinger's Tree Iguana
Liolaemus flavipiceus,
Liolaemus forsteri,Forster's Tree Iguana
Liolaemus foxi,"S: Lagartija de Fox
E: Fox’s lizard"
Liolaemus frassinettii,
Liolaemus fuscus,Brown Tree Iguana
Liolaemus gallardoi,
Liolaemus gardeli,
Liolaemus goetschi,
Liolaemus gracielae,
Liolaemus gracilis,Graceful Tree Iguana
Liolaemus gravenhorstii,Gravenhorst's Tree Iguana
Liolaemus griseus,Gray Tree Iguana
Liolaemus grosseorum,
Liolaemus gununakuna,
Liolaemus hajeki,"E: Hajek’s lizard
S: Lagartija de cuello liso de Hajek"
Liolaemus halonastes,
Liolaemus hatcheri,
Liolaemus heliodermis,
Liolaemus hellmichi,Hellmich's Tree Iguana
Liolaemus hermannunezi,
Liolaemus huacahuasicus,
Liolaemus huayra,
Liolaemus igneus,"S: Lagarto rojizo de la puna
E: Puna reddish lizard"
Liolaemus inacayali,
Liolaemus incaicus,
Liolaemus insolitus,
Liolaemus inti,
Liolaemus irregularis,
Liolaemus isabelae,
Liolaemus islugensis,"E: Panther Tree Iguana
S: Lagartija pantera"
Liolaemus jamesi,"James' Tree Iguana, James’ Jararanco"
Liolaemus janequeoae,"E: Janequeo’s Lizard
S: Lagarto de Janequeo"
Liolaemus josei,
Liolaemus juanortizi,
Liolaemus kingii,King's Tree Iguana
Liolaemus kolengh,
Liolaemus koslowskyi,
Liolaemus kriegi,Krieg's Tree Iguana
Liolaemus laurenti,
Liolaemus lavillai,
Liolaemus leftrarui,"E: Leftraru`s Lizard
S: Lagarto de Leftraru"
Liolaemus lemniscatus,Wreath Tree Iguana
Liolaemus lentus,
Liolaemus leopardinus,Leopard Tree Iguana
Liolaemus lineomaculatus,Decorated Tree Iguana
Liolaemus loboi,
Liolaemus lonquimayensis,
Liolaemus lopezi,
Liolaemus lorenzmuelleri,Lorenz's Tree Iguana
Liolaemus lutzae,Lutz's Tree Iguana
Liolaemus magellanicus,Magellan's Tree Iguana
Liolaemus maldonadae,
Liolaemus manueli,"E: Dragon of Torres
S: Dragón de Torres"
Liolaemus mapuche,
Liolaemus martorii,
Liolaemus melaniceps,
Liolaemus melanogaster,
Liolaemus melanopleurus,
Liolaemus melanops,
Liolaemus millcayac,
Liolaemus molinai,
Liolaemus montanezi,
Liolaemus montanus,Mountain Tree Iguana
Liolaemus monticola,Peak Tree Iguana
Liolaemus moradoensis,
Liolaemus morandae,
Liolaemus morenoi,
Liolaemus multicolor,"E: Many-colored Tree Iguana
S: Lagartija multicolor, Lagartija arco iris"
Liolaemus multimaculatus,Many-spotted Tree Iguana
Liolaemus neuquensis,
Liolaemus nigriceps,"E: Black Tree Iguana, Black-head lizard
S: Lagartija de cabeza negra"
Liolaemus nigrocoeruleus,
Liolaemus nigromaculatus,Many-spotted Tree Iguana
Liolaemus nigroviridis,Black-green Tree Iguana
Liolaemus nitidus,Shining Tree Iguana
Liolaemus occipitalis,Skull Tree Iguana
Liolaemus olongasta,
Liolaemus omorfi,"E: Beautiful lizard
Spanish: Lagartija hermosa"
Liolaemus orientalis,
Liolaemus orko,
Liolaemus ornatus,"E: Ornate Tree Iguana
S: Lagartija ornamentada"
Liolaemus ortizii,Ortiz's Tree Iguana
Liolaemus pacha,
Liolaemus pachacutec,
Liolaemus pachecoi,
Liolaemus pagaburoi,
Liolaemus pantherinus,"E: Panther Tree Iguana
S: Lagartija pantera"
Liolaemus parthenos,
Liolaemus parvus,
Liolaemus patriciaiturrae,
Liolaemus paulinae,Paulina's Tree Iguana
Liolaemus petrophilus,
Liolaemus pictus,Painted Tree Iguana
Liolaemus pipanaco,
Liolaemus platei,Braided Tree Iguana
Liolaemus pleopholis,
Liolaemus poconchilensis,
Liolaemus poecilochromus,
Liolaemus polystictus,
Liolaemus porosus,
Liolaemus pseudoanomalus,
Liolaemus pseudolemniscatus,
Liolaemus puelche,
Liolaemus pulcherrimus,
Liolaemus puna,
Liolaemus punmahuida,
Liolaemus puritamensis,
Liolaemus purul,
Liolaemus pyriphlogos,
Liolaemus quilmes,
Liolaemus rabinoi,Rabino's Tree Iguana
Liolaemus ramirezae,
Liolaemus ramonensis,
Liolaemus riodamas,"E: “Las Damas River Lizard”
S: “Lagarto del Rio Las Damas”"
Liolaemus riojanus,
Liolaemus robertmertensi,Robert's Tree Iguana
Liolaemus robertoi,"E: Roberto’s lizard
S: Lagartija de Roberto"
Liolaemus robustus,
Liolaemus rosenmanni,
Liolaemus rothi,"Roth's Sand Iguana, Roth’s Rock lizard"
Liolaemus ruibali,Ruibal's Tree Iguana
Liolaemus sagei,
Liolaemus salinicola,
Liolaemus sanjuanensis,San Juan Tree Iguana
Liolaemus sarmientoi,
Liolaemus saxatilis,
Liolaemus scapularis,Shoulder Tree Iguana
Liolaemus schmidti,Schmidt's Tree Iguana
Liolaemus schroederi,Schroeder's Tree Iguana
Liolaemus scolaroi,
Liolaemus scorialis,"E: Slag Lizard
S: Lagarto del escorial"
Liolaemus scrocchii,
Liolaemus senguer,
Liolaemus septentrionalis,Painted Tree Iguana
Liolaemus shehuen,
Liolaemus shitan,
Liolaemus signifer,"E: Zodiac Tree Iguana
S: Lagartija rubricauda"
Liolaemus silvai,
Liolaemus silvanae,
Liolaemus sitesi,
Liolaemus smaug,
Liolaemus somuncurae,
Liolaemus stolzmanni,"E: Stolzmann's Pacific Iguana, Stolzmann's lizard
S: Lagartija de Stolzmann"
Liolaemus tacnae,
Liolaemus tacora,"S: Lagarto de Tacora
E: Tacora lizard"
Liolaemus talampaya,
Liolaemus tandiliensis,
Liolaemus tari,
Liolaemus tehuelche,
Liolaemus telsen,
Liolaemus tenuis,Thin Tree Iguana
Liolaemus thermarum,
Liolaemus thomasi,
Liolaemus tirantii,
Liolaemus tolhuaca,"S: Lagartija de Tolhuaca
E: Tolhuaca lizard"
Liolaemus torresi,"S: Dragon de Torres-Mura
E: Dragon of Torres-Mura"
Liolaemus tregenzai,
Liolaemus tristis,
Liolaemus tromen,
Liolaemus tulkas,
Liolaemus ubaghsi,"E: Ubaghs’ leopard lizard
S: Lagarto leopardo de Ubaghs"
Liolaemus umbrifer,
Liolaemus uniformis,
Liolaemus uptoni,
Liolaemus uspallatensis,Macola's Tree Iguana
Liolaemus valdesianus,
Liolaemus vallecurensis,
Liolaemus variegatus,Variegated Tree Iguana
Liolaemus velosoi,
Liolaemus villaricensis,Villarica Tree Iguana
Liolaemus vulcanus,
Liolaemus walkeri,Walker's Tree Iguana
Liolaemus wari,
Liolaemus wiegmannii,
Liolaemus williamsi,
Liolaemus xanthoviridis,
Liolaemus yalguaraz,
Liolaemus yanalcu,
Liolaemus yatel,
Liolaemus zabalai,
Liolaemus zapallarensis,Zapallaren Tree Iguana
Liolaemus zullyae,
Liopeltis calamaria,"E: Calamaria Reed Snake
G: Calamaria-Halsbandnatter"
Liopeltis frenatus,"E: Günther's Reed Snake
G: Günthers Halsbandnatter"
Liopeltis philippinus,Philippine Liopeltine Snake
Liopeltis rappi,Himalayan stripe-necked snake
Liopeltis stoliczkae,
Liopeltis tricolor,"E: Malayan Ringneck
G: Dreifarbige Halsbandnatter"
Liophidium apperti,
Liophidium chabaudi,
Liophidium maintikibo,
Liophidium mayottensis,Peters' Bright Snake
Liophidium pattoni,
Liophidium rhodogaster,Gold-collarcd Snake
Liophidium therezieni,
Liophidium torquatum,
Liophidium trilineatum,Madagascar Three-lined Snake
Liophidium vaillanti,
Liopholidophis baderi,
Liopholidophis dimorphus,
Liopholidophis dolicocercus,
Liopholidophis grandidieri,Grandidier's Water Snake
Liopholidophis oligolepis,
Liopholidophis rhadinaea,
Liopholidophis sexlineatus,Six-lined Water Snake
Liopholidophis varius,
Liopholis guthega,
Liopholis inornata,"Unadorned Desert-skink, Desert Skink"
Liopholis kintorei,"Great Desert-skink, Kintore’s Egernia"
Liopholis margaretae,"Centralian Ranges Rock-skink, Flinder's Ranges rock-skink"
Liopholis modesta,Eastern Ranges Rock-skink
Liopholis montana,
Liopholis multiscutata,"Southern Sand-skink, Heath Skink, Bull Skink"
Liopholis personata,"Centralian Ranges Rock-skink, Flinder's Ranges rock-skink"
Liopholis pulchra,"South-western Rock-skink, Spectacled Rock Skink"
Liopholis slateri,"Centralian Floodplains Desert-skink, Slater’s Egernia"
Liopholis striata,"Nocturnal Desert-skink, Night Skink, Striated Egernia"
Liopholis whitii,"E: White's Rock-skink, White's Skink
G: Whit’s Stachelskink"
Lioscincus steindachneri,
Lioscincus vivae,
Liotyphlops albirostris,Whitenose Blind Snake
Liotyphlops anops,Cope's Blind Snake
Liotyphlops argaleus,
Liotyphlops beui,
Liotyphlops caissara,
Liotyphlops haadi,
Liotyphlops schubarti,Sao Paulo Blind Snake
Liotyphlops ternetzii,Ternetz's Blind Snake
Liotyphlops trefauti,
Liotyphlops wilderi,Wilder's Blind Snake
Lipinia albodorsalis,
Lipinia auriculata,Taylor's Lipinia
Lipinia cheesmanae,Cheesman's Lipinia
Lipinia inconspicua,Hidden Ground Skink
Lipinia inexpectata,
Lipinia infralineolata,
Lipinia leptosoma,Slender Lipinia
Lipinia longiceps,Long Lipinia
Lipinia macrotympanum,Big-eared Lipinia
Lipinia miangensis,Werner's Lipinia
Lipinia nitens,
Lipinia noctua,Moth Skink
Lipinia nototaenia,
Lipinia occidentalis,
Lipinia pulchella,BeautifulLipinia
Lipinia pulchra,
Lipinia quadrivittata,"E: Four-striped Lipinia
G: Vierstreifenschlankskink"
Lipinia rabori,Rabor's Lipinia
Lipinia relicta,Vinciguerra's Lipinia
Lipinia rouxi,Roux's Lipinia
Lipinia sekayuensis,Sekayu Striped Skink
Lipinia semperi,Semper's Lipinia
Lipinia septentrionalis,
Lipinia subvittata,Striped Lipinia
Lipinia surda,Malaysian Striped Skink
Lipinia venemai,Brongersma's Lipinia
Lipinia vittigera,"E: Banded Lipinia, Sipora Striped Skink, Common Striped Skink
G: Sipora Streifenschlankskink"
Lipinia vulcania,Vulcan Lipinia
Lipinia zamboangensis,Zamboang Lipinia
Lissemys ceylonensis,"E: Sri Lankan Flapshell Turtle
G: Sri Lanka-Weichschildkröte"
Lissemys punctata,"E: Indian Flap-shelled Turtle
G: Klappen-Weichschildkröte"
Lissemys scutata,"E: Burmese Flap-shelled Turtle
G: Hinterindische Klappen-Weichschildkröte"
Lissolepis coventryi,"Eastern Mourning Skink, Swamp Skink"
Lissolepis luctuosa,"Western Mourning Skink, Western Glossy Swamp Skink"
Lobulia alpina,
Lobulia brongersmai,Brongersma's Lobulia
Lobulia elegans,Elegant Lobulia
Lobulia glacialis,
Lobulia stellaris,
Lobulia subalpina,
Lophocalotes achlios,E: White-throated Crested Dragon
Lophocalotes ludekingi,Crested Lizard
Lophognathus gilberti,"E: Gilbert's Lashtail, Gilbert's Dragon
G: Gilberts Agame"
Lophognathus maculilabris,
Lophosaurus boydii,Boyd's Forest Dragon
Lophosaurus dilophus,Indonesian Forest Dragon
